127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000350
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000390
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000393
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000502
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000501
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000486
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000543
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000349
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000478
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000536
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000485
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000350
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000345
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000350
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000353
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000471
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/js/ajax_editor.js, HTTP/1.1, 200, 0.000553
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000471
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000499
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000515
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000649
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/images/files_toggle.png, HTTP/1.1, 200, 0.000503
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/static/_2.14.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000522
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.076639
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.065011
127.0.0.1, 2016-05-06 16:00:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.122097
127.0.0.1, 2016-05-06 16:00:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.148293
127.0.0.1, 2016-05-06 16:00:07, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.145751
127.0.0.1, 2016-05-06 16:00:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.107830
127.0.0.1, 2016-05-06 16:00:08, GET, /admin/static/_2.14.5/images/save_icon.png, HTTP/1.1, 200, 0.000347
127.0.0.1, 2016-05-06 16:00:22, GET, /admin/default/site, HTTP/1.1, 200, 0.078942
127.0.0.1, 2016-05-06 16:00:22, GET, /admin/static/_2.14.5/images/folder_locked.png, HTTP/1.1, 200, 0.000483
127.0.0.1, 2016-05-06 16:00:22, GET, /admin/static/_2.14.5/images/folder.png, HTTP/1.1, 200, 0.000506
127.0.0.1, 2016-05-06 16:00:22, GET, /admin/static/_2.14.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000417
127.0.0.1, 2016-05-06 16:00:22, POST, /admin/default/check_version, HTTP/1.1, 200, 0.560245
127.0.0.1, 2016-05-06 16:00:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000372
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/default/index, HTTP/1.1, 200, 2.202828
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001267
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001210
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001324
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 200, 0.001293
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 200, 0.001250
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 200, 0.001286
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 200, 0.001202
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001320
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001168
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 200, 0.001244
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/images/background.jpg, HTTP/1.1, 200, 0.001196
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000466
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 200, 0.000558
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 200, 0.001180
127.0.0.1, 2016-05-06 16:00:27, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 200, 0.000753
127.0.0.1, 2016-05-06 16:00:28, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.001236
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power, HTTP/1.1, 200, 0.568192
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001192
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000453
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.001428
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.002156
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000357
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.001385
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.000362
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000335
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.005192
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000329
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/images/background.jpg, HTTP/1.1, 304, 0.000698
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.000416
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.000393
127.0.0.1, 2016-05-06 16:01:03, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.003085
127.0.0.1, 2016-05-06 16:01:12, GET, /ec2_instance_power, HTTP/1.1, 200, 0.498473
127.0.0.1, 2016-05-06 16:03:08, GET, /ec2_instance_power, HTTP/1.1, 500, 1.426329
127.0.0.1, 2016-05-06 16:03:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000644
127.0.0.1, 2016-05-06 16:03:12, GET, /admin/default/ticket/ec2_instance_power/127.0.0.1.2016-05-06.16-03-07.f4f52765-cba7-4dad-8651-add5d4d86c21, HTTP/1.1, 200, 0.084379
127.0.0.1, 2016-05-06 16:03:12, GET, /admin/static/_2.14.5/images/help.png, HTTP/1.1, 200, 0.000668
127.0.0.1, 2016-05-06 16:03:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power, HTTP/1.1, 200, 0.451634
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001144
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003870
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001174
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.001201
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000925
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.001117
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.007979
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000420
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001254
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.002242
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001136
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.001084
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.001177
127.0.0.1, 2016-05-06 16:03:39, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.001115
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power, HTTP/1.1, 200, 0.545617
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001203
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004191
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002756
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.003693
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.006237
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.004729
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.000932
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001814
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000539
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.001378
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.000727
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.000308
127.0.0.1, 2016-05-06 16:06:40, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.000614
127.0.0.1, 2016-05-06 16:06:48, GET, /ec2_instance_power, HTTP/1.1, 500, 0.326517
127.0.0.1, 2016-05-06 16:06:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000944
127.0.0.1, 2016-05-06 16:06:55, GET, /ec2_instance_power, HTTP/1.1, 200, 0.146463
127.0.0.1, 2016-05-06 16:07:10, GET, /ec2_instance_power, HTTP/1.1, 200, 0.126652
127.0.0.1, 2016-05-06 16:07:29, GET, /ec2_instance_power, HTTP/1.1, 200, 0.470861
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power, HTTP/1.1, 200, 0.101205
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001302
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003025
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.001757
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.001134
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000721
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.008401
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001025
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.000713
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000783
127.0.0.1, 2016-05-06 16:07:49, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.000918
127.0.0.1, 2016-05-06 16:07:50, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.000727
127.0.0.1, 2016-05-06 16:07:50, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.000703
127.0.0.1, 2016-05-06 16:07:50, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.000622
127.0.0.1, 2016-05-06 16:07:58, GET, /ec2_instance_power, HTTP/1.1, 200, 0.483850
127.0.0.1, 2016-05-06 16:08:07, GET, /ec2_instance_power, HTTP/1.1, 200, 0.130676
127.0.0.1, 2016-05-06 16:08:14, GET, /ec2_instance_power, HTTP/1.1, 200, 0.106983
127.0.0.1, 2016-05-06 16:08:50, GET, /ec2_instance_power, HTTP/1.1, 200, 0.126178
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power, HTTP/1.1, 200, 0.136384
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001795
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.001206
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.001201
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000935
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.003565
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.009057
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.014005
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001075
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001209
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.000912
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.001130
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.001182
127.0.0.1, 2016-05-06 16:09:16, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.002195
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power, HTTP/1.1, 200, 0.094513
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001256
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.002266
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.004065
127.0.0.1, 2016-05-06 16:14:47, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003425
