80.98.152.198, 2016-05-18 18:50:34, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.257920
80.98.152.198, 2016-05-18 18:50:37, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.158438
80.98.152.198, 2016-05-18 18:50:45, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.102388
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.140593
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000361
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000180
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000348
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.000179
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.000367
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000365
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000199
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.000172
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000181
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.000184
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.000340
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.000213
80.98.152.198, 2016-05-18 18:51:02, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.000187
80.98.152.198, 2016-05-18 18:51:03, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000358
80.98.152.198, 2016-05-18 18:51:05, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.109864
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.025566
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000369
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000184
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000222
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.000187
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.000176
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000179
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.000260
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000205
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000190
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.000162
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.000360
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.000202
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.000176
80.98.152.198, 2016-05-18 18:51:07, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000361
80.98.152.198, 2016-05-18 18:51:08, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.118359
80.98.152.198, 2016-05-18 18:51:55, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.025147
80.98.152.198, 2016-05-18 18:51:57, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.240901
80.98.152.198, 2016-05-18 18:59:48, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.022913
80.98.152.198, 2016-05-18 18:59:50, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.179164
80.98.152.198, 2016-05-18 19:20:26, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.024390
80.98.152.198, 2016-05-18 19:20:33, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.265310
80.98.152.198, 2016-05-18 19:21:32, POST, /ec2_instance_power/default/powerOff, HTTP/1.1, 200, 0.243277
80.98.152.198, 2016-05-18 19:21:34, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.102204
80.98.152.198, 2016-05-18 19:21:36, POST, /ec2_instance_power/default/powerOff, HTTP/1.1, 200, 0.286928
